# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fri Nov 10 22:32:34 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denslim:     Planet Density Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance Upper Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance Lower Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_distlim:     Distance Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmag:      G-band (Gaia) [mag],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teffblend:   Effective Temperature Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN rowupdate:      Date of Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_locale:      Discovery Locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlx:       X-ray Activity log(L<sub>x</sub>),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxerr:    X-ray Activity log(L<sub>x</sub>) Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxlim:    X-ray Activity log(L<sub>x</sub>) Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_actlxblend:  X-ray Activity log(L<sub>x</sub>) Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,rowupdate,pl_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_locale,pl_mnum,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend
515,HD 220074,b,1,672.1,3.7,-3.7,0,,,,,289.02,42.71,-60.63,0,5.535,,0,3935,110,-110,0,0,1.2,0.3,-0.3,0,0,5/14/2014,HD 220074 b,,,,,,,,,Ground,0,,,,
516,HD 220689,b,1,2209,103,-81,0,,,,,45.23,1.81,-1.96,0,7.562,,0,5921,26,-26,0,0,1.04,0.03,-0.03,0,0,5/14/2014,HD 220689 b,,,,,,,,,Ground,0,,,,
517,HD 220773,b,1,3724.7,463,-463,0,,,,,48.43,2.32,-2.57,0,6.914,,0,,,,,,,,,,,5/14/2014,HD 220773 b,,,,,,,,,Ground,0,,,,
518,HD 220842,b,1,218.47,0.19,-0.19,0,,,,,62.5,2.8,-2.8,0,7.801,,0,5960,20,-20,0,0,1.13,0.06,-0.06,0,0,2/25/2016,HD 220842 b,,,,,,,,,Ground,0,,,,
519,HD 221287,b,1,456.1,7.7,-5.8,0,,,,,52.88,2.2,-2.4,0,7.657,,0,6304,45,-45,0,0,1.25,0.1,-0.1,0,0,5/14/2014,HD 221287 b,,,,,,,,,Ground,0,,,,
520,HD 221585,b,1,1173,16,-16,0,,,,,53.59,1.91,-2.06,0,7.235,,0,5620,27,-27,0,0,1.19,0.12,-0.12,0,0,5/19/2016,HD 221585 b,,,,,,,,,Ground,0,,,,
521,HD 222076,b,1,871,19,-19,0,,,,,83.5,4.3,-4.3,0,,,,4806,100,-100,0,0,1.07,0.25,-0.25,0,0,12/1/2016,HD 222076 b,,,,,,,,,Ground,0,,,,
522,HD 222155,b,1,3999,469,-541,0,,,,,50.45,2,-2.18,0,6.898,,0,5765,22,-22,0,0,1.13,0.11,-0.11,0,0,5/14/2014,HD 222155 b,,,,,,,,,Ground,0,,,,
523,HD 222582,b,1,572.38,0.61,-0.61,0,,,,,41.95,1.87,-2.05,0,7.483,,0,5727,,,0,0,0.99,,,0,0,7/23/2014,HD 222582 b,,,,,,,,,Ground,0,,,,
524,HD 224538,b,1,1189.1,5.1,-5.1,0,,,,,77.76,4.41,-4.41,0,,,,6097,100,-100,0,0,1.34,0.05,-0.05,0,0,11/10/2016,HD 224538 b,,,,,,,,,Ground,0,,,,
525,HD 224693,b,1,26.73,0.02,-0.02,0,,,,,94.07,9.33,-11.64,0,8.049,,0,6037,50,-50,0,0,1.33,0.1,-0.1,0,0,11/19/2014,HD 224693 b,,,,,,,,,Ground,0,,,,
526,HD 22781,b,1,528.07,0.14,-0.14,0,,,,,31.79,1.33,-1.45,0,8.459,,0,5027,50,-50,0,0,0.75,0.03,-0.03,0,0,5/14/2014,HD 22781 b,,,,,,,,,Ground,0,,,,
527,HD 23079,b,1,730.6,5.7,-5.7,0,,,,,34.6,0.66,-0.68,0,6.935,,0,5927,44,-44,0,0,1.01,,,0,0,7/23/2014,HD 23079 b,,,,,,,,,Ground,0,,,,
528,HD 23127,b,1,1214,9,-9,0,,,,,89.13,5.65,-6.48,0,8.4,,0,,,,,0,1.13,0.1,-0.1,0,0,11/19/2014,HD 23127 b,,,,,,,,,Ground,0,,,,
529,HD 231701,b,1,141.6,2.8,-2.8,0,,,,,108.46,11.94,-15.3,0,8.798,,0,6208,44,-44,0,0,1.14,0.04,-0.03,0,0,11/19/2014,HD 231701 b,,,,,,,,,Ground,0,,,,
530,HD 233604,b,1,192,0.22,-0.22,0,,,,,,,,,10.024,,0,4791,45,-45,0,0,1.5,0.3,-0.3,0,0,5/14/2014,HD 233604 b,,,,,,,,,Ground,0,,,,
531,HD 23596,b,1,1561,12,-12,0,,,,,52,2.3,-2.3,0,7.074,,0,5904,44,-44,0,0,1.16,0.06,-0.06,0,0,5/14/2014,HD 23596 b,,,,,,,,,Ground,0,,,,
532,HD 240210,b,1,501.75,2.33,-2.33,0,,,,,,,,0,,,,4297,25,-25,0,0,0.82,0.15,-0.15,0,0,11/19/2014,HD 240210 b,,,,,,,,,Ground,0,,,,
533,HD 240237,b,1,745.7,13.8,-13.8,0,,,,,307.69,,,-1,7.367,,0,4361,10,-10,0,0,1.69,0.42,-0.42,0,0,11/19/2014,HD 240237 b,,,,,,,,,Ground,0,,,,
534,HD 24040,b,1,3668,169,-171,0,,,,,46.51,2.13,-2.34,0,7.299,,0,5853,44,-44,0,0,1.18,,,0,0,5/14/2014,HD 24040 b,,,,,,,,,Ground,0,,,,
535,HD 24064,b,1,535.6,3,-3,0,,,,,264.4,31.2,-31.2,0,6.072,,0,4052.5,22.5,-22.5,0,0,1,0.1,-0.1,0,0,10/15/2015,HD 24064 b,,,,,,,,,Ground,0,,,,
536,HD 25171,b,1,1845,167,-167,0,,,,,56.05,1.82,-1.95,0,7.609,,0,6160,65,-65,0,0,1.09,0.03,-0.03,0,0,5/14/2014,HD 25171 b,,,,,,,,,Ground,0,,,,
537,HD 2638,b,1,3.4442,0.0002,-0.0002,0,,,,,53.71,3.63,-4.2,0,9.119,,0,5192,38,-38,0,0,0.93,,,0,0,11/19/2014,HD 2638 b,,,,,,,,,Ground,0,,,,
538,HD 27442,b,1,428.1,1.1,-1.1,0,,,,,18.24,0.17,-0.17,0,,,,4846,44,-44,0,0,1.23,,,0,0,7/23/2014,HD 27442 b,,,,,,,,,Ground,0,27.84,,0,1
539,HD 27631,b,1,2208,66,-66,0,,,,,44.54,1.5,-1.6,0,8.042,,0,5737,36,-36,0,0,0.94,0.04,-0.04,0,0,5/14/2014,HD 27631 b,,,,,,,,,Ground,0,,,,
540,HD 27894,b,3,18.02,0.01,-0.02,0,,,,,42.37,1.57,-1.7,0,,,,,,,,0,0.8,,,0,0,6/15/2017,HD 27894 b,,,,,,,,,Ground,0,,,,
541,HD 27894,c,3,36.07,0.26,-0.09,0,,,,,42.37,1.57,-1.7,0,,,,,,,,0,0.8,,,0,0,6/15/2017,HD 27894 c,,,,,,,,,Ground,0,,,,
542,HD 27894,d,3,5174,171,-82,0,,,,,42.37,1.57,-1.7,0,,,,,,,,0,0.8,,,0,0,6/15/2017,HD 27894 d,,,,,,,,,Ground,0,,,,
543,HD 28185,b,1,385.9,0.6,-0.6,0,,,,,39.6,1.7,-1.7,0,7.584,,0,5546,75,-75,0,0,0.98,0.05,-0.05,0,0,5/14/2014,HD 28185 b,,,,,,,,,Ground,0,,,,
544,HD 28254,b,1,1116,26,-26,0,,,,,54.7,1.6,-1.5,0,,,,5664,35,-35,0,0,1.06,,,0,0,11/19/2014,HD 28254 b,,,,,,,,,Ground,0,,,,
545,HD 285507,b,1,6.0881,0.0018,-0.0018,0,,,,,42.43,3.71,-4.5,0,9.954,,0,4503,85,-61,0,0,0.73,0.03,-0.03,0,0,5/14/2014,HD 285507 b,,,,,,,,,Ground,0,,,,
546,HD 285968,b,1,8.7836,0.0054,-0.0054,0,,,,,9.42,0.22,-0.23,0,8.846,,0,3679,77,-77,0,,0.45,,,0,,11/19/2014,HD 285968 b,,,,,,,,,Ground,0,27.48,,0,0
547,HD 28678,b,1,387.1,3.4,-3.4,0,,,,,168.92,30.03,-46.6,0,7.974,,0,5076,44,-44,0,0,1.74,0.12,-0.12,0,0,5/14/2014,HD 28678 b,,,,,,,,,Ground,0,,,,
548,HD 29021,b,1,1362.3,4.6,-4,0,,,,,30.6,0.4,-0.4,0,7.55,,0,5560,45,-45,0,0,0.85,0.08,-0.08,0,0,3/2/2017,HD 29021 b,,,,,,,,,Ground,0,,,,
549,HD 290327,b,1,2443,205,-117,0,,,,,56.7,5.5,-4.6,0,8.756,,0,5552,21,-21,0,0,0.9,,,0,0,11/19/2014,HD 290327 b,,,,,,,,,Ground,0,,,,
550,HD 2952,b,1,311.6,1.7,-1.9,0,,,,,115.21,8.71,-10.26,0,5.584,,0,4844,20,-20,0,0,2.54,0.12,-0.09,0,0,5/14/2014,HD 2952 b,,,,,,,,,Ground,0,,,,
551,HD 30177,b,2,2524.4,9.8,-9.8,0,,,,,54.71,2.21,-2.41,0,8.169,,0,5580,12,-12,0,0,0.99,0.03,-0.03,0,0,12/21/2016,HD 30177 b,,,,,,,,,Ground,0,,,,
552,HD 30177,c,2,11613,1837,-1837,0,,,,,54.71,2.21,-2.41,0,8.169,,0,5580,12,-12,0,0,0.99,0.03,-0.03,0,0,12/21/2016,HD 30177 c,,,,,,,,,Ground,0,,,,
553,HD 30562,b,1,1159.2,2.8,-2.8,0,,,,,26.5,0.61,-0.64,0,5.606,,0,5994,46,-46,0,0,1.23,0.03,-0.03,0,0,5/14/2014,HD 30562 b,,,,,,,,,Ground,0,,,,
554,HD 30669,b,1,1684,61,-61,0,,,,,57.1,,,0,8.844,,0,5400,74,-74,0,0,0.92,0.03,-0.03,0,0,1/8/2015,HD 30669 b,,,,,,,,,Ground,0,,,,
555,HD 30856,b,1,912,41,-41,0,,,,,121.07,11.78,-14.62,0,7.594,,0,4982,44,-44,0,0,1.35,0.09,-0.09,0,0,5/14/2014,HD 30856 b,,,,,,,,,Ground,0,,,,
556,HD 31253,b,1,466,3,-3,0,,,,,53.82,3.06,-3.45,0,6.959,,0,5960,,,0,0,1.23,0.05,-0.05,0,0,5/14/2014,HD 31253 b,,,,,,,,,Ground,0,,,,
557,HD 3167,b,3,0.959641,0.000011,-0.000012,0,5.6,2.15,-1.43,0,45.8,2.2,-2.2,0,,,,5261,60,-60,0,0,0.86,0.03,-0.03,0,0,6/8/2017,HD 3167 b,5.02,0.38,-0.38,0,1.7,0.18,-0.15,0,Space,0,,,,
558,HD 3167,c,3,29.8454,0.0012,-0.0012,0,1.97,0.94,-0.59,0,45.8,2.2,-2.2,0,,,,5261,60,-60,0,0,0.86,0.03,-0.03,0,0,6/8/2017,HD 3167 c,9.8,1.3,-1.24,0,3.01,0.42,-0.28,0,Space,0,,,,
559,HD 3167,d,3,8.509,0.045,-0.045,0,,,,,45.8,2.2,-2.2,0,,,,5261,60,-60,0,0,0.86,0.03,-0.03,0,0,6/8/2017,HD 3167 d,,,,,,,,,Ground,0,,,,
560,HD 32518,b,1,157.54,0.38,-0.38,0,,,,,117.37,9.84,-11.83,0,,,,4580,70,-70,0,0,1.13,0.18,-0.18,0,0,5/14/2014,HD 32518 b,,,,,,,,,Ground,0,,,,
561,HD 32963,b,1,2372,26,-26,0,,,,,35.24,1.29,-1.39,0,,,,5727,32,-32,0,0,0.94,,,0,0,1/5/2016,HD 32963 b,,,,,,,,,Ground,0,,,,
562,HD 330075,b,1,3.38773,0.00008,-0.00008,0,,,,,50.2,3.49,-4.06,0,9.02,,0,5017,53,-53,0,0,0.7,0.1,-0.1,0,0,11/19/2014,HD 330075 b,,,,,,,,,Ground,0,,,,
563,HD 33142,b,1,326.6,3.9,-3.9,0,,,,,136.8,15.73,-20.43,0,7.65,,0,5052,44,-44,0,0,1.48,0.1,-0.1,0,0,5/14/2014,HD 33142 b,,,,,,,,,Ground,0,,,,
564,HD 33283,b,1,18.179,0.007,-0.007,0,,,,,86.88,6.3,-7.37,0,7.863,,0,5995,50,-50,0,0,1.24,0.1,-0.1,0,0,11/19/2014,HD 33283 b,,,,,,,,,Ground,0,,,,
565,HD 33564,b,1,388,3,-3,0,,,,,20.98,0.23,-0.23,0,,,,6250,,,0,0,1.25,0.03,-0.04,0,0,12/3/2014,HD 33564 b,,,,,,,,,Ground,0,28.15,,0,1
566,HD 33844,b,2,551.4,7.8,-7.8,0,,,,,100.9,6.5,-6.5,0,6.943,,0,4861,100,-100,0,0,1.78,0.18,-0.18,0,0,1/14/2016,HD 33844 b,,,,,,,,,Ground,0,,,,
567,HD 33844,c,2,916,29.5,-29.5,0,,,,,100.9,6.5,-6.5,0,6.943,,0,4861,100,-100,0,0,1.78,0.18,-0.18,0,0,1/14/2016,HD 33844 c,,,,,,,,,Ground,0,,,,
568,HD 34445,b,6,1056.7,4.7,-4.7,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 b,,,,0,,,,0,Ground,0,,,,
569,HD 34445,c,6,214.67,0.45,-0.45,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 c,,,,0,,,,0,Ground,0,,,,
570,HD 34445,d,6,117.87,0.18,-0.18,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 d,,,,0,,,,0,Ground,0,,,,
571,HD 34445,e,6,49.175,0.045,-0.045,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 e,,,,0,,,,0,Ground,0,,,,
572,HD 34445,f,6,676.8,7.9,-7.9,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 f,,,,0,,,,0,Ground,0,,,,
573,HD 34445,g,6,5700,1500,-1500,0,,,,0,45.01,2.03,-2.23,0,7.115,,0,5836,44,-44,0,0,1.07,0.02,-0.02,0,0,10/26/2017,HD 34445 g,,,,0,,,,0,Ground,0,,,,
574,HD 35759,b,1,82.467,0.019,-0.019,0,,,,,72.5,4,-4,0,7.566,,0,6060,30,-30,0,0,1.15,0.08,-0.08,0,0,2/25/2016,HD 35759 b,,,,,,,,,Ground,0,,,,
575,HD 3651,b,1,62.218,0.015,-0.015,0,,,,,11.1,0.1,-0.1,0,,,,5221,44,-44,0,0,0.88,0.03,-0.03,0,0,5/14/2014,HD 3651 b,,,,,,,,,Ground,0,27.21,,1,0
576,HD 37124,b,3,154.378,0.089,-0.089,0,,,,,33.24,1.22,-1.32,0,,,,,,,,0,0.85,,,0,0,8/18/2016,HD 37124 b,,,,,,,,,Ground,0,,,,
577,HD 37124,c,3,885.5,5.1,-5.1,0,,,,,33.24,1.22,-1.32,0,,,,,,,,0,0.85,,,0,0,8/18/2016,HD 37124 c,,,,,,,,,Ground,0,,,,
578,HD 37124,d,3,1862,38,-38,0,,,,,33.24,1.22,-1.32,0,,,,,,,,0,0.85,,,0,0,8/18/2016,HD 37124 d,,,,,,,,,Ground,0,,,,
579,HD 37605,b,2,55.01307,0.00064,-0.00064,0,,,,,42.88,2.28,-2.55,0,8.406,,0,5448,44,-44,0,0,1,0.05,-0.05,0,0,2/5/2015,HD 37605 b,,,,,,,,,Ground,0,,,,
580,HD 37605,c,2,2720,57,-57,0,,,,,42.88,2.28,-2.55,0,8.406,,0,5448,44,-44,0,0,1,0.05,-0.05,0,0,5/14/2014,HD 37605 c,,,,,,,,,Ground,0,,,,
581,HD 38283,b,1,363.2,1.6,-1.6,0,,,,,37.78,0.78,-0.82,0,6.514,,0,5998,,,0,0,1.08,0.02,-0.02,0,0,9/10/2015,HD 38283 b,,,,,,,,,Ground,0,,,,
582,HD 38529,b,2,14.3098,0.0005,-0.0005,0,,,,,42.4,1.7,-1.7,0,,,,5697,44,-44,0,0,1.48,0.05,-0.05,0,0,5/14/2014,HD 38529 b,,,,,,,,,Ground,0,29.02,,0,0
583,HD 38529,c,2,2140.2,5.7,-5.7,0,,,,,42.4,1.7,-1.7,0,,,,5697,44,-44,0,0,1.48,0.05,-0.05,0,0,5/14/2014,HD 38529 c,,,,,,,,,Ground,0,29.02,,0,0
584,HD 38801,b,1,696.3,2.7,-2.7,0,,,,,99.4,14.66,-20.79,0,7.973,,0,5222,44,-44,0,0,1.36,0.09,-0.09,0,0,5/14/2014,HD 38801 b,,,,,,,,,Ground,0,,,,
585,HD 39091,b,1,2151,85,-85,0,,,,,18.21,0.15,-0.15,0,5.514,,0,5950,44,-44,0,0,1.1,,,0,0,7/23/2014,HD 39091 b,,,,,,,,,Ground,0,27.45,,0,0
586,HD 40307,b,5,4.3123,0.0011,-0.0012,0,,,,,12.83,0.09,-0.09,0,,,,4956,50,-50,0,0,0.77,0.05,-0.05,0,0,5/14/2014,HD 40307 b,,,,,,,,,Ground,0,,,,
587,HD 40307,c,5,9.6184,0.005,-0.0049,0,,,,,12.83,0.09,-0.09,0,,,,4956,50,-50,0,0,0.77,0.05,-0.05,0,0,5/14/2014,HD 40307 c,,,,,,,,,Ground,0,,,,
588,HD 40307,d,5,20.432,0.022,-0.024,0,,,,,12.83,0.09,-0.09,0,,,,4956,50,-50,0,0,0.77,0.05,-0.05,0,0,5/14/2014,HD 40307 d,,,,,,,,,Ground,0,,,,
589,HD 40307,f,5,51.76,0.5,-0.46,0,,,,,12.83,0.09,-0.09,0,,,,4956,50,-50,0,0,0.77,0.05,-0.05,0,0,5/14/2014,HD 40307 f,,,,,,,,,Ground,0,,,,
590,HD 40307,g,5,197.8,5.7,-9,0,,,,,12.83,0.09,-0.09,0,,,,4956,50,-50,0,0,0.77,0.05,-0.05,0,0,5/14/2014,HD 40307 g,,,,,,,,,Ground,0,,,,
591,HD 40979,b,1,264.15,0.23,-0.23,0,,,,,33.3,0.9,-0.9,0,6.578,,0,6089,44,-44,0,0,1.15,0.03,-0.03,0,0,5/14/2014,HD 40979 b,,,,,,,,,Ground,0,,,,
592,HD 41004 A,b,1,963,38,-38,0,,,,,43.03,1.81,-1.98,0,8.334,,0,5010,,,0,0,0.7,,,0,0,12/3/2014,HD 41004 A b,,,,,,,,,Ground,0,,,,
593,HD 41004 B,b,1,1.3283,0.000012,-0.000012,0,,,,,43.03,1.81,-1.98,0,,,,,,,,0,0.4,,,0,0,12/3/2014,HD 41004 B b,,,,,,,,,Ground,0,,,,
594,HD 4113,b,1,526.62,0.3,-0.3,0,,,,,44.05,1.84,-2.01,0,7.667,,0,5688,26,-26,0,0,0.99,,,0,0,12/3/2014,HD 4113 b,,,,,,,,,Ground,0,,,,
595,HD 42012,b,1,857.5,6.2,-6.3,0,,,,,37.1,1.2,-1.2,0,,,,5405,45,-45,0,0,0.83,0.08,-0.08,0,0,3/2/2017,HD 42012 b,,,,,,,,,Ground,0,,,,
596,HD 4203,b,2,437.05,0.27,-0.27,0,,,,,77.82,7,-8.53,0,8.609,,0,5702,,,0,0,1.13,,,0,0,5/14/2014,HD 4203 b,,,,,,,,,Ground,0,,,,
597,HD 4203,c,2,6700,4500,-4500,0,,,,,77.82,7,-8.53,0,8.609,,0,5702,,,0,0,1.13,,,0,0,5/14/2014,HD 4203 c,,,,,,,,,Ground,0,,,,
598,HD 4208,b,1,828,8.1,-8.1,0,,,,,32.7,1.12,-1.2,0,7.572,,0,5600,44,-44,0,0,0.87,,,0,0,7/23/2014,HD 4208 b,,,,,,,,,Ground,0,,,,
599,HD 42618,b,1,149.61,0.37,-0.34,0,,,,,23.5,0.3,-0.3,0,6.646,,0,5727,60,-60,0,0,1.01,0.06,-0.06,0,0,10/27/2016,HD 42618 b,,,,,,,,,Ground,0,,,,
600,HD 4308,b,1,15.56,0.02,-0.02,0,,,,,21.85,0.26,-0.27,0,6.335,,0,5685,13,-13,0,0,0.83,0.01,-0.01,0,0,12/3/2014,HD 4308 b,,,,,,,,,Ground,0,,,,
601,HD 4313,b,1,356,2.6,-2.6,0,,,,,131.41,14.45,-18.52,0,7.509,,0,5035,44,-44,0,0,1.72,0.12,-0.12,0,0,5/14/2014,HD 4313 b,,,,,,,,,Ground,0,,,,
602,HD 43197,b,1,327.8,1.2,-1.2,0,,,,,56.3,4.2,-3.6,0,8.712,,0,5508,46,-46,0,0,0.96,,,0,0,12/3/2014,HD 43197 b,,,,,,,,,Ground,0,,,,
603,HD 43691,b,1,36.96,0.02,-0.02,0,,,,,93.2,9.09,-11.3,0,7.872,,0,6200,40,-40,0,0,1.38,0.05,-0.05,0,0,1/22/2015,HD 43691 b,,,,,,,,,Ground,0,,,,
604,HD 44219,b,1,472.3,6.3,-5,0,,,,,50.4,2.1,-1.9,0,7.492,,0,5752,16,-16,0,0,1,,,0,0,1/22/2015,HD 44219 b,,,,,,,,,Ground,0,,,,
605,HD 45350,b,1,963.6,3.4,-3.4,0,,,,,48.95,2.24,-2.47,0,,,,5616,,,0,0,1.02,,,0,0,9/18/2014,HD 45350 b,,,,,,,,,Ground,0,,,,
606,HD 45364,b,2,226.93,0.37,-0.37,0,,,,,32.58,0.84,-0.88,0,,,,,,,,,,,,,,5/14/2014,HD 45364 b,,,,,,,,,Ground,0,,,,
